Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,50.799999,52.340000,50.639999,50.970001,46.336472,37459300
2013-01-08,50.880001,51.500000,50.180000,50.590000,45.991009,41581800
2013-01-15,50.470001,52.700001,50.430000,52.340000,47.581921,33294300
2013-01-22,52.389999,54.869999,52.180000,54.360001,49.418285,49158800
2013-01-29,54.150002,54.869999,53.529999,53.900002,49.000107,42211800
2013-02-05,54.360001,55.500000,53.410000,54.750000,49.772835,64746100
2013-02-12,54.770000,55.619999,54.669998,55.610001,50.554653,40807400
2013-02-19,55.580002,55.950001,53.590000,53.590000,48.718288,40477500
2013-02-26,53.810001,55.840000,53.599998,55.799999,50.727379,34755700
2013-03-05,55.950001,57.750000,55.900002,57.660000,52.418301,32767200
2013-03-12,57.520000,57.820000,56.700001,56.830002,51.663750,37191000
2013-03-19,56.830002,57.150002,55.759998,56.209999,51.100105,33453100
2013-03-26,56.410000,57.139999,55.990002,56.689999,51.536469,24496000
2013-04-02,57.040001,58.820000,56.369999,58.820000,53.472839,37919600
2013-04-09,58.720001,60.730000,58.520000,58.880001,53.527386,47105600
2013-04-16,59.259998,62.099998,59.080002,62.009998,56.372845,46839000
2013-04-23,62.400002,63.250000,61.540001,63.000000,57.272846,34519500
2013-04-30,62.930000,65.589996,62.439999,65.059998,59.145580,40682900
2013-05-07,65.440002,67.519997,64.559998,67.320000,61.200130,57516300
2013-05-14,67.430000,67.889999,65.680000,66.120003,60.109222,41127800
2013-05-21,66.349998,66.709999,64.239998,65.489998,59.536484,31883800
2013-05-28,65.980003,67.110001,62.529999,63.799999,58.000126,48273200
2013-06-04,63.930000,64.970001,62.040001,63.830002,58.027405,40044000
2013-06-11,63.320000,65.129997,62.520000,64.489998,58.627396,31766700
2013-06-18,64.610001,65.550003,61.820000,62.439999,56.763752,42753500
2013-06-25,62.880001,64.919998,62.500000,63.930000,58.118305,36154900
2013-07-02,63.830002,64.790001,62.570000,64.709999,58.827396,23367800
2013-07-09,65.320000,67.360001,64.570000,65.930000,59.936489,30995800
2013-07-16,65.949997,66.370003,64.260002,64.400002,58.545582,32474400
2013-07-23,64.599998,65.120003,64.110001,64.610001,58.736488,24024500
2013-07-30,64.699997,66.589996,64.099998,66.019997,60.018307,33068200
2013-08-06,66.089996,67.160004,63.669998,63.930000,58.118305,53293600
2013-08-13,64.260002,64.260002,61.709999,61.830002,56.209217,35351600
2013-08-20,61.790001,62.389999,61.090000,61.349998,55.772854,27684800
2013-08-27,60.900002,61.520000,60.410000,60.830002,55.300121,25696500
2013-09-03,61.419998,61.990002,60.520000,61.590000,55.991024,41931500
2013-09-10,62.090000,67.650002,61.930000,66.940002,60.854679,64221000
2013-09-17,66.830002,67.370003,64.680000,64.750000,58.863770,65543900
2013-09-24,64.940002,65.440002,64.199997,64.489998,58.627396,35574600
2013-10-01,64.370003,65.430000,63.830002,64.589996,58.718300,31751000
2013-10-08,64.519997,66.980003,63.099998,66.830002,60.754673,38256300
2013-10-15,66.730003,67.629997,65.930000,67.610001,61.463768,33052800
2013-10-22,67.940002,69.870003,67.750000,69.000000,62.727406,30853100
2013-10-29,69.120003,69.550003,67.930000,68.809998,62.554676,25771200
2013-11-05,68.769997,69.620003,66.720001,68.339996,62.127403,43276900
2013-11-12,68.330002,70.169998,67.300003,69.500000,63.181950,30603100
2013-11-19,69.489998,70.580002,69.040001,69.739998,63.400135,24524900
2013-11-26,69.919998,71.690002,69.900002,70.910004,64.463783,25871700
2013-12-03,70.220001,71.489998,69.320000,71.110001,64.645599,30794600
2013-12-10,70.910004,72.129997,68.800003,70.510002,64.100143,37418600
2013-12-17,70.690002,73.559998,69.830002,73.279999,67.440773,40180200
2013-12-24,73.250000,76.540001,73.250000,76.230003,70.155708,19927400
2013-12-31,76.279999,76.839996,75.489998,75.820000,69.778381,20770100
2014-01-07,76.120003,76.699997,73.050003,73.269997,67.431557,37899900
2014-01-14,73.709999,75.099998,73.290001,73.980003,68.084991,25502600
2014-01-21,73.989998,75.430000,71.720001,72.250000,66.492851,35333100
2014-01-28,72.260002,73.629997,69.849998,69.989998,64.412933,41377000
2014-02-04,70.940002,77.309998,69.879997,77.059998,70.919563,62935700
2014-02-11,77.150002,79.470001,77.110001,79.230003,72.916649,27472200
2014-02-18,79.500000,81.589996,78.800003,80.730003,74.297134,33796700
2014-02-25,80.720001,81.589996,78.849998,79.459999,73.128319,32239800
2014-03-04,80.599998,83.650002,80.540001,81.970001,75.438324,34193300
2014-03-11,82.190002,82.330002,79.570000,81.389999,74.904533,37155900
