Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,27.250000,27.730000,26.639999,26.690001,22.007835,190825200
2013-01-08,26.750000,27.080000,26.280001,26.889999,22.172752,269018800
2013-01-15,26.830000,27.469999,26.830000,27.250000,22.469587,193175500
2013-01-22,27.299999,28.230000,27.000000,27.910000,23.013809,348681800
2013-01-29,27.820000,28.190001,27.400000,27.440001,22.626263,249459000
2013-02-05,27.620001,27.920000,27.100000,27.860001,22.972584,180894500
2013-02-12,27.879999,28.160000,27.750000,28.010000,23.096268,160020600
2013-02-19,27.879999,28.200001,27.230000,27.370001,22.568541,211407800
2013-02-26,27.379999,28.150000,27.330000,28.150000,23.403887,195165400
2013-03-05,28.290001,28.540001,27.670000,27.870001,23.171093,196372700
2013-03-12,27.840000,28.280001,27.639999,28.100000,23.362316,261783100
2013-03-19,28.120001,28.490000,27.959999,28.160000,23.412201,194457500
2013-03-26,28.240000,28.660000,28.080000,28.610001,23.786327,148526600
2013-04-02,28.590000,28.950001,28.110001,28.590000,23.769701,194469300
2013-04-09,28.730000,30.320000,28.510000,28.690001,23.852839,398992900
2013-04-16,28.900000,31.180000,28.500000,30.830000,25.632027,400239300
2013-04-23,30.700001,32.840000,30.379999,32.610001,27.111923,367689400
2013-04-30,32.560001,33.910000,32.279999,33.750000,28.059721,263318500
2013-05-07,33.650002,33.790001,32.320000,33.029999,27.461107,213514300
2013-05-14,32.860001,35.099998,32.799999,35.080002,29.165480,277244400
2013-05-21,35.099998,35.270000,33.900002,34.270000,28.691833,199027000
2013-05-28,34.419998,35.630001,34.410000,35.590000,29.796982,245173600
2013-06-04,35.619999,35.779999,34.430000,35.470001,29.696516,225924900
2013-06-11,35.049999,35.270000,34.250000,35.000000,29.303019,225326200
2013-06-18,34.970001,35.169998,32.570000,33.720001,28.231365,255373900
2013-06-25,34.080002,34.990002,33.459999,34.360001,28.767179,218333300
2013-07-02,34.410000,34.590000,33.580002,34.330002,28.742075,112107200
2013-07-09,34.580002,36.220001,34.139999,36.169998,30.282572,178259400
2013-07-16,36.009998,36.430000,31.020000,32.009998,26.799704,450679900
2013-07-23,31.910000,32.189999,31.209999,31.540001,26.406202,249330800
2013-07-30,31.780001,32.119999,31.549999,31.700001,26.540155,192439700
2013-08-06,31.549999,33.070000,31.250000,32.869999,27.519726,185738900
2013-08-13,32.509998,33.360001,30.840000,31.389999,26.280624,182090500
2013-08-20,31.440001,35.200001,31.370001,34.150002,28.792849,389839200
2013-08-27,33.520000,34.099998,32.799999,33.400002,28.160496,190854600
2013-09-03,31.750000,32.070000,30.950001,31.660000,26.693453,493535900
2013-09-10,31.900000,33.500000,31.790001,32.799999,27.654617,222567600
2013-09-17,33.419998,33.680000,32.500000,32.740002,27.604031,333574000
2013-09-24,32.869999,33.750000,32.150002,33.279999,28.059326,193284000
2013-10-01,33.349998,34.029999,33.200001,33.299999,28.076189,190446700
2013-10-08,33.310001,34.500000,32.799999,34.450001,29.045782,177562500
2013-10-15,34.669998,35.200001,34.330002,34.990002,29.501078,182813800
2013-10-22,35.020000,36.290001,33.570000,35.570000,29.990093,304126300
2013-10-29,35.630001,35.980000,35.259998,35.939999,30.302044,178707500
2013-11-05,35.790001,38.220001,35.770000,37.590000,31.693205,264678400
2013-11-12,37.380001,38.160000,36.900002,37.200001,31.364384,226671700
2013-11-19,36.849998,37.950001,36.669998,37.639999,31.735373,158198400
2013-11-26,37.570000,38.779999,37.349998,38.450001,32.664154,125508200
2013-12-03,38.139999,38.980000,37.180000,38.709999,32.885025,287141700
2013-12-10,38.610001,38.900002,36.540001,36.889999,31.338905,185495100
2013-12-17,36.939999,37.110001,35.529999,36.619999,31.109528,230817700
2013-12-24,36.720001,37.619999,36.639999,37.290001,31.678713,62709300
2013-12-31,37.400002,37.580002,36.110001,36.130001,30.693256,122874200
2014-01-07,36.330002,36.490002,34.830002,34.980000,29.716316,218741500
2014-01-14,34.730000,37.000000,34.630001,36.380001,30.905653,170722100
2014-01-21,36.820000,37.549999,35.520000,36.029999,30.608318,218241900
2014-01-28,36.119999,37.990002,35.750000,36.480000,30.990589,281213100
2014-02-04,36.970001,37.189999,35.689999,36.799999,31.262444,205891600
2014-02-11,36.880001,37.860001,36.860001,37.619999,31.959049,128236200
2014-02-18,37.630001,38.349998,37.209999,37.689999,32.018520,160216900
2014-02-25,37.610001,38.459999,37.189999,37.779999,32.335648,176614200
2014-03-04,38.200001,38.480000,37.689999,37.820000,32.369888,116502900
2014-03-11,37.869999,38.450001,37.509998,38.049999,32.566734,135555400
2014-03-18,38.259998,40.939999,38.220001,40.500000,34.663677,285751100
2014-03-25,40.660000,41.500000,39.340000,40.990002,35.083069,210898800
2014-04-01,41.150002,41.660000,39.639999,39.799999,34.064560,180380500
2014-04-08,39.750000,40.689999,38.900002,39.180000,33.533909,175614900
2014-04-15,39.340000,40.419998,39.049999,39.939999,34.184364,123494100
2014-04-22,39.959999,41.290001,39.299999,40.869999,34.980354,201528100
