Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,2.333333,2.363333,2.260000,2.289333,2.289333,45792000
2013-01-08,2.300000,2.300000,2.140667,2.217333,2.217333,80892000
2013-01-15,2.207333,2.323333,2.205333,2.301333,2.301333,119913000
2013-01-22,2.304000,2.580667,2.284000,2.535333,2.535333,130930500
2013-01-29,2.540000,2.566667,2.462000,2.516000,2.516000,82870500
2013-02-05,2.533333,2.666667,2.500000,2.561333,2.561333,132091500
2013-02-12,2.563333,2.600000,2.463333,2.469333,2.469333,93546000
2013-02-19,2.490667,2.643333,2.289333,2.292000,2.292000,304468500
2013-02-26,2.297333,2.406667,2.253333,2.372000,2.372000,149869500
2013-03-05,2.400000,2.629333,2.386000,2.606667,2.606667,103303500
2013-03-12,2.593333,2.632667,2.328000,2.343333,2.343333,130707000
2013-03-19,2.350000,2.568000,2.329333,2.502000,2.502000,97302000
2013-03-26,2.532000,3.112000,2.487333,2.928667,2.928667,275425500
2013-04-02,2.906667,3.033333,2.680667,2.788667,2.788667,266883000
2013-04-09,2.786667,3.009333,2.688667,2.886667,2.886667,181431000
2013-04-16,2.946000,3.346667,2.927333,3.346000,3.346000,234268500
2013-04-23,3.400000,3.666000,3.265333,3.662667,3.662667,246322500
2013-04-30,3.733333,3.977333,3.533333,3.966667,3.966667,285918000
2013-05-07,4.133333,5.866667,3.674667,5.853333,5.853333,1392981000
2013-05-14,6.281333,6.474667,5.207333,5.996000,5.996000,1545108000
2013-05-21,5.900000,6.530000,5.536667,6.472000,6.472000,685689000
2013-05-28,6.770000,7.660000,5.883333,6.172667,6.172667,1428550500
2013-06-04,6.183333,6.860000,5.940667,6.670000,6.670000,757980000
2013-06-11,6.545333,6.983333,6.270000,6.813333,6.813333,542688000
2013-06-18,6.783333,7.142000,6.353333,6.766000,6.766000,694786500
2013-06-25,6.873333,7.851333,6.703333,7.812000,7.812000,567726000
2013-07-02,7.883333,8.145333,7.618000,8.107333,8.107333,472555500
2013-07-09,8.309333,8.884000,8.052667,8.484000,8.484000,644301000
2013-07-16,8.418667,8.445333,6.966667,8.162000,8.162000,1282306500
2013-07-23,8.266667,9.024667,7.970667,8.974667,8.974667,588025500
2013-07-30,8.986667,9.659333,8.545333,9.645333,9.645333,619093500
2013-08-06,9.650000,10.592000,8.824000,9.825333,9.825333,1178301000
2013-08-13,9.966667,9.989333,9.000000,9.660000,9.660000,686515500
2013-08-20,9.910000,11.533333,9.750000,10.948000,10.948000,905698500
2013-08-27,10.820000,11.433333,10.730000,11.266667,11.266667,791571000
2013-09-03,11.560000,11.580000,10.567333,10.713333,10.713333,797794500
2013-09-10,10.763333,11.390000,10.700667,11.105333,11.105333,509046000
2013-09-17,11.005333,12.388667,10.890667,12.074000,12.074000,721594500
2013-09-24,11.942667,12.966667,11.843333,12.891333,12.891333,539724000
2013-10-01,12.930667,12.948667,11.200000,12.204667,12.204667,1173711000
2013-10-08,12.293333,12.395333,10.766667,11.981333,11.981333,810574500
2013-10-15,12.352000,12.586000,11.400000,11.506667,11.506667,650277000
2013-10-22,11.366667,11.852000,10.676667,10.857333,10.857333,764550000
2013-10-29,10.850667,11.692667,10.200000,11.680000,11.680000,782224500
2013-11-05,12.000000,12.095333,8.821333,9.646667,9.646667,1684485000
2013-11-12,9.646000,9.646667,7.974000,8.105333,8.105333,1093284000
2013-11-19,7.962000,8.600000,7.862000,8.056000,8.056000,1004004000
2013-11-26,7.958667,8.706000,7.740000,8.278000,8.278000,655807500
2013-12-03,8.845333,9.662667,8.772667,9.440000,9.440000,976344000
2013-12-10,9.336667,10.120000,9.235333,9.862667,9.862667,688815000
2013-12-17,9.838667,10.326667,9.273333,9.570000,9.570000,714225000
2013-12-24,10.000000,10.533333,9.988000,10.162667,10.162667,404980500
2013-12-31,10.154667,10.213333,9.682667,9.800000,9.800000,307603500
2014-01-07,9.841333,10.246667,9.188000,9.289333,9.289333,455122500
2014-01-14,9.366667,11.546667,9.111333,11.334000,11.334000,1038573000
2014-01-21,11.416000,12.158667,10.980667,11.308000,11.308000,615081000
2014-01-28,11.433333,12.400000,11.400000,11.807333,11.807333,508014000
2014-02-04,12.046667,13.286667,11.290667,13.104000,13.104000,595426500
2014-02-11,13.264667,13.514667,12.846667,13.215333,13.215333,451063500
2014-02-18,13.682667,14.557333,12.894000,14.510000,14.510000,894019500
2014-02-25,15.333333,17.666668,15.230000,16.704000,16.704000,1543668000
2014-03-04,17.232000,17.333332,15.737333,15.922667,15.922667,563742000
2014-03-11,15.766667,16.500000,15.221333,15.598667,15.598667,585046500
2014-03-18,15.796667,16.103333,14.018000,14.678000,14.678000,520158000
2014-03-25,14.942667,15.136667,13.533333,13.896667,13.896667,634998000
2014-04-01,13.934667,15.715333,13.567333,13.834667,13.834667,754177500
2014-04-08,14.003333,14.563333,12.960667,13.206000,13.206000,540433500
2014-04-15,13.272667,13.746667,12.288000,13.625333,13.625333,480697500
2014-04-22,13.757333,14.622000,12.700000,13.234000,13.234000,549513000
2014-04-29,13.214000,14.512667,13.035333,14.440667,14.440667,373401000
2014-05-06,14.440000,14.577333,11.814667,12.311333,12.311333,770551500
2014-05-13,12.250667,13.126000,12.200000,13.072667,13.072667,414055500
2014-05-20,13.129333,13.850667,12.871333,13.820000,13.820000,315792000
2014-05-27,13.901333,14.320000,13.444667,13.646667,13.646667,371668500
2014-06-03,13.566000,14.054000,13.360000,13.687333,13.687333,258334500
2014-06-10,13.628667,15.032667,13.283333,14.974000,14.974000,454149000
2014-06-17,14.940667,15.932667,14.856667,15.814667,15.814667,625998000
2014-06-24,15.931333,16.299334,15.349333,16.004000,16.004000,441937500
2014-07-01,16.164000,16.229334,14.693333,14.844000,14.844000,351358500
2014-07-08,14.576667,15.252667,14.284667,15.113333,15.113333,409815000
2014-07-15,15.115333,15.176667,14.240000,14.702667,14.702667,337324500
2014-07-22,14.812667,15.466667,14.607333,14.988000,14.988000,279903000
2014-07-29,15.107333,16.033333,14.736000,15.901333,15.901333,508722000
2014-08-05,15.831333,17.582666,15.712667,17.288000,17.288000,529623000
2014-08-12,17.205334,17.817333,16.972000,17.329332,17.329332,407379000
2014-08-19,17.257999,17.578667,16.774668,17.503332,17.503332,276447000
2014-08-26,17.665333,18.133333,17.352667,17.980000,17.980000,241426500
2014-09-02,18.366667,19.427999,18.167334,18.807333,18.807333,624568500
2014-09-09,18.865999,19.032667,16.608667,16.924000,16.924000,478293000
2014-09-16,17.010000,17.706667,16.313999,16.668667,16.668667,482931000
2014-09-23,16.348000,16.997334,16.091999,16.350668,16.350668,343357500
2014-09-30,16.461332,17.499332,15.710000,17.374666,17.374666,484467000
2014-10-07,17.235332,17.702667,14.733333,14.972667,14.972667,615883500
2014-10-14,15.216667,15.651333,14.488000,15.364667,15.364667,535435500
2014-10-21,15.618000,15.853333,14.687333,14.778000,14.778000,371338500
2014-10-28,15.306667,16.504000,15.216667,16.172667,16.172667,400294500
2014-11-04,16.032667,16.445999,15.233333,16.128668,16.128668,567321000
