Date,Open,High,Low,Close,Adj Close,Volume
2013-01-01,12.804000,13.486500,12.663000,13.423000,13.423000,256122000
2013-01-08,13.353500,13.713000,13.115000,13.636500,13.636500,296560000
2013-01-15,13.534000,13.725000,13.391500,13.606000,13.606000,184382000
2013-01-22,13.581000,14.236000,13.332500,13.802000,13.802000,347062000
2013-01-29,13.767500,14.210000,12.917500,12.999000,12.999000,797174000
2013-02-05,13.100000,13.401500,12.755500,12.860500,12.860500,360838000
2013-02-12,12.959500,13.532500,12.850000,13.254500,13.254500,313592000
2013-02-19,13.295500,13.715000,12.982500,12.993500,12.993500,323554000
2013-02-26,13.044500,13.665000,12.786500,13.655500,13.655500,306678000
2013-03-05,13.700000,13.834000,13.499500,13.562000,13.562000,229212000
2013-03-12,13.550000,13.870000,12.856000,12.894500,12.894500,358864000
2013-03-19,12.920000,12.988000,12.603500,12.801000,12.801000,298446000
2013-03-26,12.852500,13.370000,12.814000,13.080500,13.080500,205888000
2013-04-02,13.120000,13.294500,12.683500,12.947500,12.947500,237246000
2013-04-09,12.942500,13.756000,12.850000,13.386000,13.386000,275238000
2013-04-16,13.465500,13.640000,12.830000,13.177500,13.177500,262630000
2013-04-23,13.225000,13.790000,12.457500,12.487000,12.487000,627738000
2013-04-30,12.468500,12.975000,12.287500,12.786000,12.786000,368764000
2013-05-07,12.815500,13.294000,12.645500,13.225500,13.225500,277496000
2013-05-14,13.225000,13.589500,13.192500,13.381500,13.381500,236006000
2013-05-21,13.437000,13.538500,12.917000,13.087000,13.087000,175396000
2013-05-28,13.324000,13.595500,13.147500,13.344000,13.344000,259202000
2013-06-04,13.350000,14.123500,13.151000,14.053500,14.053500,315926000
2013-06-11,13.800000,14.010000,13.514500,13.903000,13.903000,260426000
2013-06-18,13.954000,14.167000,13.250000,13.530500,13.530500,320448000
2013-06-25,13.615000,14.164500,13.450000,14.105000,14.105000,281602000
2013-07-02,14.052000,14.583500,14.029500,14.529500,14.529500,192866000
2013-07-09,14.550000,15.399500,14.400500,15.328500,15.328500,307560000
2013-07-16,15.365000,15.469500,15.093500,15.174000,15.174000,264950000
2013-07-23,15.158000,15.681000,14.777500,15.305000,15.305000,428704000
2013-07-30,15.386000,15.489000,14.915000,15.049500,15.049500,253044000
2013-08-06,15.025500,15.068000,14.627500,14.834500,14.834500,192164000
2013-08-13,14.794000,14.818500,14.174000,14.278500,14.278500,218524000
2013-08-20,14.294000,14.575000,14.191500,14.310500,14.310500,169956000
2013-08-27,14.193500,14.299000,13.966500,14.049000,14.049000,140684000
2013-09-03,14.236500,14.998000,14.208500,14.985500,14.985500,221768000
2013-09-10,15.027500,15.100000,14.763000,14.803000,14.803000,165724000
2013-09-17,14.881500,16.028500,14.800500,15.574500,15.574500,295620000
2013-09-24,15.621500,15.968500,15.537500,15.632000,15.632000,186264000
2013-10-01,15.711000,16.146000,15.487000,15.501500,15.501500,223736000
2013-10-08,15.575000,15.582500,14.825000,15.535000,15.535000,261418000
2013-10-15,15.493500,16.594500,15.262000,16.322001,16.322001,311446000
2013-10-22,16.386000,18.420000,16.202999,17.908001,17.908001,566220000
2013-10-29,17.948000,18.299999,17.719999,17.937000,17.937000,288476000
2013-11-05,17.839001,18.143499,17.094000,17.719000,17.719000,269086000
2013-11-12,17.649500,18.674500,17.284000,18.309000,18.309000,330104000
2013-11-19,18.291000,18.889500,18.022499,18.832001,18.832001,231574000
2013-11-26,18.880501,19.950001,18.740999,19.615000,19.615000,242282000
2013-12-03,19.505501,19.547501,19.068501,19.244499,19.244499,254224000
2013-12-10,19.187000,19.584999,18.975000,19.448500,19.448500,251770000
2013-12-17,19.532499,20.250000,19.155001,20.146000,20.146000,319072000
2013-12-24,20.125999,20.281500,19.622499,19.668501,19.668501,154458000
2013-12-31,19.729000,20.135500,19.421000,19.681499,19.681499,190302000
2014-01-07,19.752001,20.344500,19.422501,19.549000,19.549000,237198000
2014-01-14,19.606501,20.174500,19.470501,19.980499,19.980499,242494000
2014-01-21,20.150000,20.403000,19.024500,19.313999,19.313999,332064000
2014-01-28,19.370001,20.312500,17.004999,17.307501,17.307501,863726000
2014-02-04,17.479500,18.250000,16.886499,18.043501,18.043501,407284000
2014-02-11,18.091999,18.180500,17.316000,17.867500,17.867500,350100000
2014-02-18,17.764000,17.786501,17.164499,17.589001,17.589001,410272000
2014-02-25,17.650000,18.293501,17.579000,17.989000,17.989000,342874000
